,refractive_index,optical_gap,optical_gap_std,refractive_index_std,band_gap,formula,nelements
mp-14132,2.0331104,9.238689,0.37540769577026367,0.03578302264213562,4.9398,Al5Lu3O12,3
mp-21872,2.127315,8.862053,0.3598881959915161,0.028674043715000153,4.8757,LuO3Pr,3
mp-755574,2.105484,9.4862995,0.1993170529603958,0.047505103051662445,5.742900000000001,AlLuO3,3
mp-977360,2.0095904,9.471599,0.72239750623703,0.09331341832876205,7.4101,AcF3,2
mp-1029845,2.1464167,7.754528,0.4383002817630768,0.0718938410282135,8.1923,Mo2N5Na3,3
mp-1029938,2.2267947,7.399392,0.42079848051071167,0.10063100606203079,4.5219,K3N5W2,3
mp-1207992,2.0110416,9.113139,1.0379650592803955,0.1033245399594307,5.3393,Be2O7SiTm2,4
mp-1209937,2.1577656,8.939817,0.10911208391189575,0.028373055160045624,4.8869,LuNdO3,3
mp-1028576,3.1370237,4.869574,0.3894851505756378,0.11526526510715485,4.011,MoTe8W3,3
mp-1029562,2.028244,9.617769,0.8299357295036316,0.07061144709587097,12.1391,InLi3N2,3
mp-1212878,2.0113375,9.08431,1.0457209348678589,0.10669365525245667,5.3446,Be2Er2O7Si,4
mp-1221381,2.0270703,8.030709,0.8642855882644653,0.1002446860074997,5.1856,F29Na3Th6Zn,4
mp-3792,2.0490592,9.168043,0.5333152413368225,0.10083235800266266,5.5402,AlO3Y,3
mp-574653,2.0312314,7.9324007,0.5713376402854919,0.1554592400789261,5.4807999999999995,C6Cs2IrLiN6,5
mp-985278,2.0896382,9.306371,0.3730958104133606,0.10286537557840347,6.162600000000001,AcF3,2
mp-1178350,2.0417998,9.559473,0.1735610067844391,0.029653241857886314,5.1904,ClErO,3
mp-1197527,2.0451856,7.7243066,0.5842260122299194,0.06274133175611496,6.1983999999999995,BeF45Na3Th10,4
